#,role_id,recency,frequency,monetary
227,21100000093232,8,1,510
228,21200000003096,49,1,6
229,21200000017049,55,2,12
230,21200000019020,58,1,6
231,21200000027825,44,1,6
232,21200000039024,16,1,160
233,21200000039492,3,2,515
234,21200000051515,18,1,6
235,21300000011762,6,24,8418
236,21300000025688,16,1,6
237,21300000028053,21,56,19604
238,21400000011007,48,1,648
239,21400000018709,8,5,1316
240,21400000031986,58,2,60
241,21400000037689,14,3,220
242,21400000070518,12,1,510
243,21400000070523,9,1,510
244,21400000070524,9,1,510
245,21400000070526,7,1,510
246,21400000070531,8,1,510
247,21400000070532,9,1,510
248,21400000070549,4,1,510
249,21400000070554,4,1,510
250,21400000070556,5,1,510
251,21400000070562,4,1,510
252,21400000071002,3,1,510
253,21400000075548,14,1,510
254,21400000076566,14,1,510
255,21400000077144,29,1,510
256,21500000000208,3,4,1204
257,21500000000319,6,1,6
258,21500000011229,13,2,12
259,21500000013253,19,1,30
260,21500000017926,6,1,30
261,21500000018329,5,6,84
262,21600000024831,14,1,510
263,21600000025373,59,6,336
264,21600000027524,0,1,510
265,21600000029458,41,2,12
266,21600000031143,12,1,648
267,21600000031668,19,1,510
268,21600000032563,16,1,6
269,21600000044864,11,1,6
270,21600000045183,0,1,510
271,21600000078402,10,1,6
272,21600000091026,7,5,313
273,21700000007122,0,1,6
274,21700000010160,18,19,3150
275,21700000028460,0,47,686
276,21700000050053,16,1,510
277,21700000050517,16,1,510
278,21700000050812,1,1,510
279,21800000008182,26,1,160
280,21800000045101,11,1,6
281,21900000042077,8,1,510
282,21900000042121,14,1,510
283,21900000042124,14,1,510
284,21900000042140,2,1,510
285,21900000042145,12,1,510
286,21900000058712,38,1,510
287,21900000072554,0,1,510
288,21900000073176,0,1,510
289,21900000074771,19,1,510
290,21900000074802,19,1,510
291,21900000074803,12,1,510
292,21900000074809,12,1,510
293,21900000074813,12,1,510
294,21900000085517,1,13,622
295,22000000000762,1,1,30
296,22000000001773,0,4,178
297,22000000019652,9,1,6
298,22100000011316,49,2,36
299,22100000013532,0,20,1148
300,24000000001796,24,1,6
301,24000000009164,43,3,18
302,24000000013505,14,17,266
303,24000000014766,0,41,7356
304,24000000016625,1,15,2330
305,24000000021517,13,12,1814
306,24000000042165,29,1,6
307,24000000090123,0,63,426
308,24000000098128,0,64,456
309,24000000101202,8,4,1204
310,24000000107523,0,59,538
311,24000000113050,0,62,420
312,24000000125043,4,7,188
313,24000000125562,17,3,42
314,24000000126049,18,3,90
315,24000000126089,26,3,18
316,24000000126619,19,6,1308
317,24000000127015,18,6,1308
318,24000000127068,17,5,1302
319,24000000127109,15,6,1308
320,24000000127137,14,6,1308
321,24000000127164,13,1,6
322,24000000127173,13,1,30
323,24000000128019,4,6,1308
324,24000000128044,2,1,6
325,24000000128050,1,6,1308
326,24000000128088,0,1,328
327,24000000128115,0,6,1308
328,24100000011568,1,9,362
329,24100000015098,34,1,6
330,24100000041012,39,1,30
331,24200000004554,42,1,6
332,24200000008322,9,1,6
333,24200000009186,56,1,6
334,24200000016009,0,34,5728
335,24200000020298,0,27,974
336,24300000003364,4,1,30
337,24300000015396,0,150,7890
338,24400000003636,58,1,6
339,24400000020274,53,1,6
340,24400000028842,39,1,6
341,24400000031946,9,4,140
342,24400000041649,9,1,6
343,24400000096374,2,57,870
344,24500000007338,4,3,302
345,24500000029723,12,4,24
346,24600000020870,0,105,12034
347,24700000002296,30,1,6
348,24800000055551,41,3,18
349,24800000057531,60,1,6
350,24800000090170,35,1,6
351,24800000093085,18,6,1308
352,25000000002869,32,1,6
353,25300000000104,44,1,6
354,25300000003936,2,60,19382
